Water system name,Water body type,Water body name,Water body abbraviation,Sampling station,Sample name,Sampling date,Sample type,Latitude,Longitude,Elevation,Sample memo,pH,Temperature [C],Alkalinity [meq/L],Electrical conductivity [mS/m],Oxidation-reduction potential [mV],Dissolved oxygen [mg/L],Flow rate [m3/s],Na+ [ppm],Ca++ [ppm],K+ [ppm],Mg++ [ppm],Si [ppm],Cl- [ppm],SO4-- [ppm],NO2- [ppm],NO3- [ppm],Ionic strength [mol/kgw],Charge imbalance [eq],Charge imbalance [%],log a Ca++,log a Mg++,log a CO3--,si_CO2(g),si_Monohydrocalcite,si_AMC_TK,si_MSH075KF,si_Gypsum,HCO3- [ppm]
Boon Tsagaan Lake,River,Baidrag River,BD,2,BD_02,2024-10-10,Water,45.860092,99.341607,,,8.07,8.2,1.94,19.1,92.0,12.9,,11.50021301,29.89647764,4.443600512,10.97006506,2.070410677,12.5,32.0,0.0,0.87,0.004375586401649444,-1.2572677007418524e-05,-0.2151810406060697,-3.2639070880574907,-3.4796850476656136,-5.19910352759823,-3.104725459136123,-1.0970277768623906,-2.9028722733420027,-1.8120090206742363,-2.391415400848616,120.18752888363444
Boon Tsagaan Lake,River,Baidrag River,BD,T,BD_T,2024-10-10,Water,46.175416,99.025261,,,8.52,7.9,4.07,39.5,169.0,13.1,,40.76209215,52.33001946,4.143450726,21.77368458,5.567090769,18.4,49.3,1.45,10.1,0.008547011275518978,-0.00015810166613146228,-1.309741330572786,-3.0803773826466982,-3.2327573095685533,-4.462360888629297,-3.266615570054432,-0.17350660346209645,-1.9160314830629117,-0.5294979118390488,-2.082758244994368,243.31974881512878
Orog Lake,Lake,Orog Lake,,,C1,15-Aug,Water,,,,"Gankhurel et al., 2022",9.08,24.7,19.0,476.0,123.0,7.76,,900.0,13.4,31.4,102.0,0.0,660.0,600.0,0.0,0.0,0.05374883054777262,-0.0010979565638200572,-1.2247141425824593,-4.071749535692382,-2.899038064238616,-3.228465226110757,-3.2056610878246854,-0.09414685477885643,-0.5126614167492098,-999.999,-2.2089152649852037,1019.0987107065805
Orog Lake,Lake,Orog Lake,,,C1,16-Aug,Water,,,,"Gankhurel et al., 2022",8.89,16.7,13.0,329.0,150.0,6.02,,640.0,26.1,45.0,95.0,0.0,510.0,350.0,0.0,0.0,0.04024407216379788,0.0034353175005502517,5.1251540366508666,-3.623672834635575,-2.805824729209675,-3.5994816095048847,-3.1766264443705667,0.0551574786617306,-0.7179058479717249,-999.999,-1.9654488642082981,731.9104127456799
Orog Lake,Lake,Orog Lake,,,W1,17-Oct,Water,,,,"Gankhurel et al., 2022",9.0,5.7,12.0,278.0,161.0,7.96,,473.0,21.9,30.9,46.1,0.0,370.0,490.0,0.0,0.0,0.034229601308275154,-0.006389325408736908,-11.600533628767204,-3.6788417158087467,-3.1104778541892566,-3.610189453332378,-3.3639910979194187,0.1044674631340392,-0.9178969493433726,-999.999,-1.816290296450215,689.2347503327662
Orog Lake,Lake,Orog Lake,,,W2,18-Aug,Water,,,,"Gankhurel et al., 2022",9.31,22.1,16.0,412.0,109.0,6.83,,780.0,16.5,47.0,95.0,0.0,670.0,500.0,0.0,0.0,0.048441442684824754,-0.0015396268830086685,-1.9156611755410304,-3.9857286165769077,-2.9182427631259253,-3.146726564170373,-3.578453257371864,0.09607353396517482,-0.4275364091257874,-999.999,-2.184183708777267,812.6704506707167
Orog Lake,Lake,Orog Lake,,,W3,18-Aug,Water,,,,"Gankhurel et al., 2022",9.12,21.9,16.0,434.0,92.0,7.12,,780.0,13.7,46.0,94.0,0.0,540.0,530.0,0.0,0.0,0.04701112469737797,0.0012549122798736056,1.613585966570754,-4.019908279711686,-2.899635264223302,-3.2829920480343042,-3.334271469359348,-0.07258874424765738,-0.5433726558882208,-999.999,-2.1916108079176757,857.0214217825998
Orog Lake,Lake,Orog Lake,,,W3bot,18-Aug,Water,,,,"Gankhurel et al., 2022",9.08,21.7,15.0,428.0,154.0,6.31,,800.0,14.0,49.0,95.0,0.0,520.0,500.0,0.0,0.0,0.04631330815123544,0.004487709992480786,5.828173074402165,-3.9873073060704614,-2.8782308627094366,-3.3449903870666553,-3.3158012499708995,-0.10021279983313702,-0.5821852377677601,-999.999,-2.186355309823175,810.100273534963
Orog Lake,Lake,Orog Lake,,,C2,18-Aug,Water,,,,"Gankhurel et al., 2022",9.14,21.8,10.0,266.0,99.0,5.78,,458.0,19.2,30.6,59.0,0.0,320.0,330.0,0.0,0.0,0.02947656021391723,0.0006195165295659819,1.2912539027546355,-3.7812387281046167,-3.0226481020924902,-3.4433822224527733,-3.534633004570315,0.0067814611619096965,-0.8252710061887853,-999.999,-2.08405933946157,537.8320833909688
Orog Lake,Lake,Orog Lake,,,C2bot,18-Aug,Water,,,,"Gankhurel et al., 2022",9.15,21.0,11.0,271.0,91.0,5.25,,473.0,19.2,30.7,62.0,0.0,280.0,320.0,0.0,0.0,0.029667832654878185,0.0018579063204228292,3.848069160354194,-3.7908015773277457,-3.0046962904634325,-3.4009232216287697,-3.5102341615786203,0.04679923575096989,-0.757743499826828,-999.999,-2.1100455934004074,591.0040875723797
